instr,term,enroll,evals,rmd_class,rmd_instr,time,Course_ID,Course_Name,expected_grade,expected_gpa,actual_grade,actual_gpa
"Donoghue, Daniel J.",WI21,80,31,96.8,100.0,3.66,CHEM 151,Molecules That Changed World (A),A-,3.97,A-,3.95
"Herzik, Mark Anthony",WI21,22,10,80.0,88.9,8.7,CHEM 165,3D Elctron Microscopy/Macromol (A),B,3.17,B+,3.47
"Devaraj, Neal Krishna",WI21,119,104,97.1,97.1,5.27,CHEM 168,Drug Synthesis and Design (A),B,3.29,B,3.22
"Thiemens, Mark H",WI21,55,14,78.6,92.9,5.21,CHEM 172,Environmental Chemistry II (A),B+,3.36,B,3.01
"Bertrand, Guy",WI21,241,120,95.7,100.0,6.43,CHEM 40A,Organic Chemistry I (A),B+,3.45,B-,2.93
"Bertrand, Guy",WI21,244,123,94.2,98.3,6.47,CHEM 40A,Organic Chemistry I (B),B+,3.39,B-,2.92
"Ternansky, Robert J.",WI21,164,87,72.3,68.3,8.99,CHEM 40B,Organic Chemistry II (A),B-,2.83,B-,2.79
"Klosterman, Jeremy K",WI21,302,257,81.6,88.6,8.59,CHEM 40B,Organic Chemistry II (B),B,3.08,B-,2.99
"Hoeger, Carl",WI21,280,111,61.9,65.7,9.17,CHEM 40B,Organic Chemistry II (C),B-,2.93,B,3.06
"Burkart, Michael D",WI21,214,188,78.5,94.1,8.26,CHEM 40B,Organic Chemistry II (D),B-,2.97,B,3.09
"Weizman, Haim",WI21,80,49,89.8,93.9,8.21,CHEM 40BH,Honors Organic Chemistry II (A),B,3.23,B+,3.67
"Godula, Kamil",WI21,388,360,72.2,85.8,8.23,CHEM 40C,Organic Chemistry III (A),B,3.29,B+,3.44
"Weizman, Haim",WI21,258,143,37.3,44.0,12.56,CHEM 43A,Organic Chemistry Laboratory (A),B,3.15,B+,3.48
"Weizman, Haim",WI21,344,213,34.3,41.6,13.9,CHEM 43A,Organic Chemistry Laboratory (B),B,3.03,B+,3.52
"Tezcan, Faik",WI21,302,150,83.6,80.4,6.73,CHEM 6A,General Chemistry I (A),B,3.14,B-,2.94
"Albizati, Kim F.",WI21,297,144,81.6,79.7,6.36,CHEM 6A,General Chemistry I (B),B,3.02,B-,2.87
"Stallings, Dontarie M",WI21,311,274,80.8,80.3,7.43,CHEM 6B,General Chemistry II (A),B,3.04,C+,2.69
"Hoeger, Carl",WI21,222,128,72.8,50.4,7.81,CHEM 6B,General Chemistry II (B),B-,2.81,B+,3.33
"Komor, Alexis C",WI21,291,253,89.7,90.1,6.71,CHEM 6B,General Chemistry II (C),B+,3.44,B+,3.43
"Lam, Tin Yiu",WI21,217,113,85.0,79.2,6.52,CHEM 6B,General Chemistry II (D),B,3.19,B,3.03
"Lam, Tin Yiu",WI21,217,120,88.9,87.9,7.03,CHEM 6B,General Chemistry II (E),B,3.23,B,3.16
"Schurmeier, Kimberly",WI21,237,216,84.3,80.1,6.55,CHEM 6B,General Chemistry II (G),B+,3.32,B,3.11
"Stallings, Dontarie M",WI21,231,213,84.9,81.6,6.92,CHEM 6B,General Chemistry II (H),B,3.26,B,3.04
"Paesani, Francesco",WI21,76,53,82.7,90.4,7.27,CHEM 6BH,Honors General Chemistry II (A),B,3.22,B+,3.42
"Ghosh, Partho",WI21,222,114,82.0,90.1,7.07,CHEM 6C,General Chemistry III (A),B-,2.98,B-,2.7
"Leigh, Brian",WI21,242,131,91.3,97.6,8.12,CHEM 7L,General Chemistry Laboratory (A),B,3.22,B,3.26
"Leigh, Brian",WI21,240,134,86.7,96.9,7.96,CHEM 7L,General Chemistry Laboratory (B),B,3.28,B,3.29
"Chen, Pei-Chia",WI21,24,10,100.0,100.0,4.5,CHIN 10BD,First Yr Chinese/Dialect Sp II (A),A,4.0,A-,3.79
"Chen, Pei-Chia",WI21,26,14,100.0,100.0,5.12,CHIN 10BD,First Yr Chinese/Dialect Sp II (B),A-,3.75,B+,3.54
"Xu, Li",WI21,30,13,100.0,100.0,4.5,CHIN 10BM,First Yr Chinese/Mandarin II (A),A-,3.92,B+,3.7
"Cha, Samuel",WI21,21,12,100.0,100.0,6.67,CHIN 10BN,First Yr Chinese/Non-Native II (B),B+,3.45,B+,3.67
"Wang, Xiao",WI21,22,10,100.0,90.0,3.3,CHIN 20BD,Second Yr Chinese-Dialect SpII (A),A-,3.89,A-,3.96
"Anderson, Qin-Hong",WI21,22,22,100.0,100.0,4.68,CHIN 20BN,Second Yr Chinese/Non-NativeII (A),A-,3.85,A-,3.73
"Barrera, Steven James",WI21,448,206,98.5,99.0,3.84,COGS 1,Introduction to Cognitive Sci (A),A-,3.73,B+,3.6
"Hoffman, Drew Ellen",WI21,368,179,97.7,98.9,3.84,COGS 101B,"Learning, Memory and Attention (A)",A-,3.72,B+,3.67
"Johnson, Christine M.",WI21,108,29,75.0,85.7,5.57,COGS 102A,Cognitive Perspectives (A),B+,3.33,B+,3.35
"Scott, Taylor Jackson",WI21,99,87,96.6,98.9,5.49,COGS 102B,Cognitive Ethnography (A),B+,3.6,B+,3.61
"Greene, Deanna Jacquelyn",WI21,362,300,82.9,94.3,6.78,COGS 107A,Neuroanatomy and Physiology (A),B+,3.35,B,3.25
"Alfonso, Stephanie Isabel",WI21,217,109,55.6,34.3,5.55,COGS 107B,Systems Neuroscience (A),B,3.04,B,3.07
"Ellis, Shannon Elizabeth",WI21,431,291,94.8,99.7,5.82,COGS 108,Data Science in Practice (A),B+,3.69,B+,3.65
"Bardolph, Megan Dalene",WI21,123,41,91.9,89.2,5.31,COGS 109,Modeling & Data Analysis (A),B+,3.56,B+,3.63
"Boroditsky, Lera",WI21,113,43,87.8,90.2,4.01,COGS 11,Minds & Brains (A),B+,3.5,B+,3.36
"Hoffman, Drew Ellen",WI21,130,55,92.6,96.3,4.61,COGS 111,Beauty and the Brain (A),B+,3.68,A-,3.79
"Deak, Gedeon O.",WI21,56,23,91.3,100.0,5.8,COGS 115,Neurologcl Devlp & Cogntv Chng (A),B+,3.57,B+,3.44
"Fleischer, Jason G",WI21,192,158,93.7,94.3,7.46,COGS 118A,Supvr/Mach Learning Algorithms (A),B+,3.47,B+,3.42
"Klemmer, Scott R",WI21,124,77,33.8,20.0,9.43,COGS 120,Interaction Design (A),B+,3.45,B+,3.66
"Dow, Steven P",WI21,78,40,89.2,83.8,6.24,COGS 123,Social Computing (A),B+,3.61,B+,3.68
"Davis, Joshua Daniel",WI21,234,100,83.5,89.7,4.31,COGS 13,Fld Methods: Cognition in Wild (A),B+,3.62,B+,3.53
"Johnson, Christine M.",WI21,162,72,74.6,90.1,5.04,COGS 13,Fld Methods: Cognition in Wild (B),B+,3.58,B+,3.45
"Voytek, Bradley Thomas",WI21,20,12,100.0,100.0,6.33,COGS 138,Neural Data Science (A),A,4.0,A-,3.93
"Rossano, Federico",WI21,24,16,92.9,92.9,4.36,COGS 144,Social Cognition (A),A-,3.79,B,3.12
"Davis, Joshua Daniel",WI21,255,118,84.5,95.4,4.1,COGS 14A,Intro. to Research Methods (A),B+,3.57,B+,3.44
"Barrera, Steven James",WI21,185,83,95.0,100.0,4.6,COGS 14B,Intro. to Statistical Analysis (A),B+,3.52,B,3.26
"Coulson, Seana M",WI21,40,15,93.3,93.3,5.03,COGS 151,Analogy and Conceptual Systems (A),B+,3.5,B,3.29
"Creel, Sarah",WI21,74,33,93.9,100.0,5.56,COGS 157,Music and the Mind (A),B+,3.68,A-,3.78
"Saygin, Ayse P",WI21,36,17,94.1,88.2,4.74,COGS 160,Seminar on Special Topics (B),B+,3.53,A-,3.79
"Greenspan, Ralph J.",WI21,27,9,66.7,77.8,4.94,COGS 169,Genetic Information/Behavior (A),B,3.11,B,3.3
"Kiyonaga, Anastasia",WI21,357,165,98.1,99.4,5.08,COGS 17,Neurobiology of Cognition (A),A-,3.73,A-,3.7
"Mooshagian, Eric Frederick",WI21,67,37,91.9,88.9,4.93,COGS 17,Neurobiology of Cognition (B),B+,3.56,B,3.13
"Greene, Deanna Jacquelyn",WI21,92,71,98.6,100.0,5.15,COGS 172,Brain Disorders and Cognition (A),A-,3.72,B+,3.53
"Coulson, Seana M",WI21,37,16,86.7,100.0,6.5,COGS 179,Electrophysiology of Cognition (A),B+,3.43,B+,3.34
"Bardolph, Megan Dalene",WI21,295,135,83.6,83.6,6.3,COGS 18,Introduction to Python (A),B+,3.67,B+,3.31
"Ellis, Shannon Elizabeth",WI21,99,72,91.4,97.1,7.2,COGS 18,Introduction to Python (B),B+,3.6,B+,3.42
"Mattar, Marcelo G",WI21,32,18,94.4,83.3,9.06,COGS 182,Intro/Reinforcement Learning (A),B+,3.59,B+,3.69
"Kirsh, David Joel",WI21,99,88,92.0,82.8,7.89,COGS 187B,Practicum in Pro Web Design (A),B+,3.64,B+,3.69
"Gupta, Anjum",WI21,68,56,94.6,92.9,5.04,COGS 188,AI Algorithms (A),B+,3.55,B+,3.62
"De Sa, Virginia",WI21,144,58,94.7,94.7,4.61,COGS 189,Brain Computer Interfaces (A),A-,3.8,A-,3.93
"Boyle, Mary E. T.",WI21,80,52,98.1,94.2,3.73,COGS 2,Cognitive NeuroEconomics (A),A-,3.9,A-,3.77
"Leonardis, Eric Jeffrey",WI21,26,12,66.7,66.7,5.33,COGS 8,Hands-On Computing (A),B+,3.45,B,3.24
"Voytek, Bradley Thomas",WI21,286,118,96.4,100.0,3.42,COGS 9,Introduction to Data Science (A),A-,3.79,A-,3.74
"Schmidt, Thomas Rainer",WI21,196,112,97.3,98.2,3.53,COMM 10,Introduction to Communication (A),A-,3.92,A-,3.95
"Cordoba Azcarate, Matilde",WI21,289,153,83.3,85.7,5.32,COMM 100B,"Comm, Culture & Representation (A)",B+,3.42,B,3.28
"Davis, Zeinabu I.",WI21,68,25,88.0,91.7,7.62,COMM 101,Intro Audio-Vis Media Practice (A),B+,3.7,B+,3.49
"Whitworth-Smith, Andrew C",WI21,66,56,92.9,94.6,4.79,COMM 106I,CI: Internet Industry (A),B+,3.67,A-,3.77
"Hill, Erin Truesdell",WI21,61,25,80.0,92.0,5.54,COMM 106T,"CI: TV, Culture & the Public (A)",B,3.24,B+,3.59
"Jack, Caroline Sarah",WI21,63,30,96.7,96.7,5.57,COMM 109D,MC: Advertising & Society (A),B+,3.55,B+,3.6
"Rojo Solis, Juan Jose",WI21,30,11,100.0,81.8,3.23,COMM 111P,CCP:Perform & Cultural Studies (A),A-,3.91,B+,3.57
"Guarrasi, Ivana",WI21,31,10,100.0,100.0,3.39,COMM 112G,IM: Language & Globalization (A),A,4.0,B+,3.58
"Dewaard, Andrew Michael",WI21,51,25,100.0,100.0,5.0,COMM 113T,Intm Topics in Communication (B),A-,3.79,B+,3.5
"Staschus, Sophie",WI21,30,6,100.0,100.0,4.17,COMM 114N,CSI:Com&the Law:The Body inLaw (A),A-,3.83,B+,3.58
"Iatarola, Briana Marie",WI21,28,21,100.0,100.0,4.5,COMM 114T,CSI: Science Communication (B),A-,3.76,A-,3.87
"McMickens, Taisha Janee",WI21,42,14,92.9,92.9,4.21,COMM 129,Race & Violence in MultiCul CA (A),A-,3.86,B+,3.6
"Walton, Jonathan Douglas",WI21,33,13,100.0,100.0,4.5,COMM 136,Transmedia (A),A-,3.85,A-,3.71
"Lazitski Torres, Olga",WI21,25,11,90.9,90.9,7.23,COMM 146,Adv Studies-Cultural Prductn (B),B+,3.64,A-,3.88
"Fields, Gary",WI21,28,10,100.0,100.0,3.9,COMM 158,Rep/Israeli/Pal Conflict (A),A-,3.7,B+,3.51
"Guarrasi, Ivana",WI21,29,6,100.0,100.0,3.83,COMM 170,Biography & Life Stories (A),A,4.0,B+,3.63
"Alac, Morana",WI21,24,6,100.0,100.0,4.17,COMM 173,Interaction with Technology (A),A,4.0,B+,3.5
"Dewaard, Andrew Michael",WI21,23,9,100.0,100.0,8.06,COMM 190,Junior Seminar in Comm (A),B+,3.67,A-,3.74
"Kalika, Angelica L",WI21,23,14,92.3,84.6,4.65,COMM 190,Junior Seminar in Comm (B),B+,3.62,A-,3.87
"Hill, Erin Truesdell",WI21,20,7,100.0,100.0,8.83,COMM 190,Junior Seminar in Comm (C),B+,3.67,B+,3.56
"Alac, Morana",WI21,24,5,100.0,100.0,4.0,COMM 190,Junior Seminar in Comm (D),A,4.0,B+,3.63
"Moshiri, Alexander Niema",WI21,476,237,97.8,98.3,8.7,CSE 100,Advanced Data Structures (A),A-,3.7,B+,3.61
"Kane, Daniel Mertz",WI21,170,56,96.4,94.6,8.71,CSE 101,Design & Analysis of Algorithm (A),B+,3.69,B+,3.35
"Jones, Miles E",WI21,208,78,93.4,96.1,8.37,CSE 101,Design & Analysis of Algorithm (B),B+,3.57,B+,3.45
"Meyer, Kyle Phillip",WI21,179,84,67.5,53.0,8.33,CSE 105,Theory of Computation (A),B+,3.53,B+,3.46
"Meyer, Kyle Phillip",WI21,171,73,82.2,63.0,8.33,CSE 105,Theory of Computation (B),B+,3.61,B+,3.54
"Cao, Yingjun",WI21,342,254,89.7,94.0,10.02,CSE 11,Accel. Intro to Programming (A),B+,3.46,B,3.29
"Powell, Thomas Allan",WI21,295,104,72.7,59.4,9.38,CSE 110,Software Engineering (A),B+,3.54,B+,3.66
"Gillespie, Gary N",WI21,83,50,94.0,74.0,10.22,CSE 12,Basic Data Struct & OO Design (A),B,3.29,B,3.22
"Cao, Yingjun",WI21,185,154,92.2,96.1,10.92,CSE 12,Basic Data Struct & OO Design (B),B+,3.62,B+,3.66
"Miranda, Gregory Joseph",WI21,189,162,95.6,97.5,10.16,CSE 12,Basic Data Struct & OO Design (C),A-,3.71,B+,3.66
"Miranda, Gregory Joseph",WI21,191,157,93.0,98.1,10.38,CSE 12,Basic Data Struct & OO Design (D),B+,3.66,B+,3.68
"Pasquale, Joseph",WI21,215,65,87.5,92.2,10.47,CSE 120,Princ/Computer Operating Systm (A),B+,3.4,B+,3.38
"Pasquale, Joseph",WI21,181,54,92.3,96.2,10.08,CSE 120,Princ/Computer Operating Systm (B),B,3.21,B,3.3
"Snoeren, Alex C.",WI21,28,15,84.6,92.3,13.58,CSE 123,Computer Networks (A),B+,3.6,B+,3.5
"Snoeren, Alex C.",WI21,71,25,95.8,95.8,14.26,CSE 123,Computer Networks (B),A-,3.71,B+,3.34
"Heninger, Nadia A",WI21,168,56,94.4,86.8,9.17,CSE 127,Intro to Computer Security (A),A-,3.73,B+,3.49
"Jhala, Ranjit",WI21,183,66,87.9,92.4,8.44,CSE 130,Progrmng Lang:Princpl&Paradigm (A),B+,3.47,B+,3.69
"Vianu, Victor Dan",WI21,167,48,78.3,82.6,6.07,CSE 132A,Database System Principles (A),B+,3.63,B+,3.48
"Powell, Thomas Allan",WI21,141,36,83.3,77.8,8.72,CSE 134B,Web Client Languages (A),B+,3.5,B+,3.39
"Rosing, Tajana Simunic",WI21,165,157,69.9,75.0,10.08,CSE 140,Component&Desgn Tech/Digtl Sys (A),B+,3.3,B+,3.59
"Rosing, Tajana Simunic",WI21,161,152,71.5,80.1,9.25,CSE 140,Component&Desgn Tech/Digtl Sys (B),B,3.27,B+,3.63
"Eldon, John",WI21,164,61,81.4,86.4,7.5,CSE 140L,Digital Systems Laboratory (A),A-,3.93,A-,3.91
"Eldon, John",WI21,173,79,76.7,86.3,7.77,CSE 140L,Digital Systems Laboratory (B),A-,3.84,A-,3.88
"Chin, Bryan W.",WI21,189,141,82.3,90.8,8.76,CSE 141,Intro/Computer Architecture (A),B+,3.44,B+,3.5
"Eldon, John",WI21,174,60,78.4,86.3,7.63,CSE 141L,Project/Computer Architecture (A),B+,3.7,B+,3.38
"Chaudhuri, Kamalika",WI21,300,109,84.4,82.6,8.22,CSE 151A,Intro to Machine Learning (A),B+,3.66,A-,3.92
"Ochoa, Benjamin Lawrence",WI21,139,43,90.7,93.0,10.12,CSE 152A,Intro to Comp Vision I (A),A-,3.72,B+,3.47
"Gillespie, Gary N",WI21,524,320,89.0,80.3,5.0,CSE 15L,Software Tools&Techniques Lab (A),A-,3.76,B+,3.58
"Muller, P Keith",WI21,150,87,87.2,86.0,5.42,CSE 15L,Software Tools&Techniques Lab (B),A-,3.8,B+,3.62
"Schulze, Jurgen P.",WI21,41,18,100.0,100.0,9.28,CSE 165,3D User Interaction (A),A-,3.76,A-,3.91
"Chern, Albert Ren-Haur",WI21,130,37,82.9,76.5,11.03,CSE 167,Computer Graphics (A),A-,3.76,B+,3.41
"Rotenberg, Steven Paul",WI21,42,17,94.1,88.2,10.38,CSE 169,Computer Animation (A),B+,3.57,A-,3.96
"Klemmer, Scott R",WI21,106,56,36.4,9.1,8.57,CSE 170,Interaction Design (A),B+,3.54,A-,3.78
"Shalev, Aaron D",WI21,35,18,100.0,100.0,11.21,CSE 190,Topics/Computer Sci & Engineer (A),B+,3.62,A-,3.86
"Soosai Raj, Adalbert Geral",WI21,20,10,100.0,100.0,4.94,CSE 190,Topics/Computer Sci & Engineer (B),A-,3.89,A-,3.94
"Minnes Kemp, Mor Mia",WI21,149,111,89.8,98.1,7.93,CSE 20,Discrete Mathematics (A),A-,3.7,A-,3.72
"Minnes Kemp, Mor Mia",WI21,155,115,89.6,97.4,8.45,CSE 20,Discrete Mathematics (B),B+,3.7,A-,3.76
"Jones, Miles E",WI21,309,161,87.8,91.9,9.19,CSE 21,Math/Algorithm&Systems Analys (A),B+,3.43,B+,3.33
"Porter, Leonard Emerson",WI21,113,100,92.0,96.0,10.4,CSE 30,Computer Organiz&Systms Progrm (A),B+,3.58,B,3.19
"Porter, Leonard Emerson",WI21,104,96,86.5,93.7,9.66,CSE 30,Computer Organiz&Systms Progrm (B),B+,3.42,B,3.11
"Chin, Bryan W.",WI21,93,78,89.7,96.2,10.84,CSE 30,Computer Organiz&Systms Progrm (C),B+,3.48,B,3.11
"Politz, Joseph Gibbs",WI21,173,86,85.7,96.4,8.62,CSE 8A,Intro to Programming 1 (A),B+,3.53,B+,3.68
"Politz, Joseph Gibbs",WI21,174,82,92.4,97.5,8.65,CSE 8A,Intro to Programming 1 (B),B+,3.6,B+,3.68
"Alvarado, Christine J.",WI21,124,65,95.2,93.4,10.41,CSE 8B,Intro to Programming 2 (A),A-,3.82,B+,3.57
"Alvarado, Christine J.",WI21,121,62,95.1,96.7,9.84,CSE 8B,Intro to Programming 2 (B),A-,3.72,B+,3.49
"Miranda, Gregory Joseph",WI21,136,61,91.8,86.7,10.01,CSE 8B,Intro to Programming 2 (C),B+,3.47,B+,3.55
"Serences, John Thomas",WI21,114,56,76.4,89.1,7.61,CSS 1,Prog Computational Social Sci (A),B+,3.58,B+,3.48
"Pass, Natalye Joann",WI21,21,16,93.8,93.8,9.25,DOC 100D,Promises&Contradictions/USCult (A),B+,3.4,B,3.26
"Pass, Natalye Joann",WI21,21,15,60.0,66.7,9.97,DOC 100D,Promises&Contradictions/USCult (B),B+,3.38,B,3.05
"Strom, Megan C.",WI21,307,262,78.9,95.8,4.75,DOC 2,Justice (A),B+,3.6,B+,3.55
"Johnston, Emily Ronay",WI21,335,304,83.2,97.0,5.22,DOC 2,Justice (B),B+,3.65,A-,3.74
"Strom, Megan C.",WI21,256,242,81.3,95.4,4.68,DOC 2,Justice (C),A-,3.71,A-,3.7
"Tiefenbruck, Janine LoBue",WI21,78,35,85.7,85.7,7.76,DSC 10,Principles of Data Science (A),B+,3.59,B,3.28
"Tiefenbruck, Janine LoBue",WI21,86,39,94.6,89.2,6.61,DSC 10,Principles of Data Science (B),B+,3.48,B+,3.55
"Salimi, Babak",WI21,143,96,92.6,85.1,5.95,DSC 100,Intro to Data Management (A),A-,3.79,B+,3.63
"Kumar, Arun Kumar",WI21,134,80,88.6,91.0,8.83,DSC 102,Systems for Scalable Analytics (A),B+,3.58,B+,3.55
"Nusrat, Sabrina",WI21,43,16,87.5,81.3,3.88,DSC 106,Intro to Data Visualization (A),B+,3.69,A-,3.96
"Cloninger, Alexander",WI21,21,7,71.4,85.7,9.36,DSC 120,Signal Processing/Data Analys (A),B,3.2,B+,3.62
"Belkin, Mikhail",WI21,149,48,21.3,21.3,7.1,DSC 140A,Probabilistic Modeling and ML (A),B,3.3,B+,3.52
"Fraenkel, Aaron Mcmillan",WI21,78,26,100.0,100.0,11.38,DSC 180B,Data Science Project II (A),A-,3.88,A-,3.93
"Fraenkel, Aaron Mcmillan",WI21,120,28,96.2,96.2,7.91,DSC 180B,Data Science Project II (B),A-,3.7,A-,3.95
"Shang, Jingbo",WI21,28,13,83.3,83.3,6.04,DSC 190,Topics in Data Science (A),A-,3.75,A-,3.84
"Eldridge, Justin Matthew",WI21,28,15,100.0,100.0,5.36,DSC 190,Topics in Data Science (B),A-,3.79,A-,3.82
"Langlois, Marina",WI21,169,88,90.6,85.4,9.9,DSC 20,Prgrmng/DataStruc for Data Sci (A),B+,3.46,B+,3.55
"Langlois, Marina",WI21,136,51,90.0,92.0,11.97,DSC 30,DataStrc/Algrthms for Data Sci (A),B+,3.64,B+,3.36
"Mishne, Gal",WI21,44,34,88.2,79.4,10.15,DSC 40A,Theor Fndtns of Data Sci I (A),B,3.24,B,3.06
"Eldridge, Justin Matthew",WI21,80,62,96.8,98.4,6.34,DSC 40B,Theor Fndtns of Data Sci II (A),B+,3.67,A-,3.73
"Wang, Yusu",WI21,40,27,100.0,100.0,5.5,DSC 40B,Theor Fndtns of Data Sci II (B),A-,3.92,B+,3.69
"Meyer, Michael Wayne",WI21,153,68,91.2,98.5,6.24,DSGN 1,Design of Everyday Things (A),B+,3.68,A-,3.88
"Scott, Taylor Jackson",WI21,95,79,100.0,97.4,5.88,DSGN 100,Prototyping (A),A-,3.83,A-,3.96
"Baghdadchi, Saharnaz",WI21,120,103,89.9,100.0,7.48,ECE 101,Linear Systems Fundamentals (A),B,3.24,B,3.03
"Le, Hanh-Phuc",WI21,70,60,93.3,93.3,8.97,ECE 102,Intro/Active Circuit Design (A),B,3.21,B+,3.38
"Taur, Yuan",WI21,26,10,66.7,44.4,5.25,ECE 103,Fundamntls/Devices & Materials (A),B-,2.88,B+,3.33
"Lomakin, Vitaliy",WI21,90,34,84.8,84.8,6.92,ECE 107,Electromagnetism (A),B+,3.38,B+,3.32
"Vardy, Alexander",WI21,138,115,68.4,78.9,8.27,ECE 109,Engineering Probability&Stats (A),B,3.24,B,3.18
"Karna, Vishal",WI21,144,51,98.0,100.0,6.83,ECE 111,Advanced Digital Design Proj (A),A-,3.78,A-,3.89
"Esmaili, Gholamreza",WI21,34,21,85.7,95.2,9.5,ECE 121B,Energy Conversion (A),B+,3.53,B+,3.36
"Le, Hanh-Phuc",WI21,40,22,90.9,86.4,10.23,ECE 125A,Intro to Power Electronics I (A),B+,3.33,B+,3.31
"Abi Samra, Nicholas Camill",WI21,34,13,100.0,100.0,4.68,ECE 128B,Power Grid Modernization (A),A-,3.75,A-,3.78
"Ng, Tse Nga",WI21,24,11,100.0,100.0,5.23,ECE 134,Electrnc Materls Sci/Integ Cir (A),B+,3.55,B+,3.55
"Gessner, Richard K.",WI21,97,38,71.1,75.0,12.97,ECE 140A,The Art of Product Eng I (A),B+,3.67,B+,3.52
"Khoshabeh, Ramsin",WI21,97,38,71.1,84.2,12.97,ECE 140A,The Art of Product Eng I (A),B+,3.67,B+,3.52
"Gessner, Richard K.",WI21,94,34,76.7,83.3,14.37,ECE 141A,Software Foundations I (A),B+,3.52,B,3.15
"Unpingco, Jose H.",WI21,140,97,95.8,94.8,9.42,ECE 143,Programming for Data Analysis (A),A-,3.79,A-,3.87
"Phan, Alex Minh Giang",WI21,23,17,100.0,100.0,8.5,ECE 144,LabVIEW Programming (B),B+,3.53,B+,3.55
"Schurgers, Curt",WI21,148,101,91.0,95.0,9.44,ECE 15,Engineering Computation (A),B+,3.46,B-,2.89
"Kumar, Rakesh",WI21,26,21,90.5,81.0,5.2,ECE 150,Entrepreneurship for Engineers (A),A-,3.89,B+,3.54
"Nguyen, Truong Quang",WI21,46,15,100.0,100.0,8.35,ECE 161B,Digital Signal Processing I (A),B,3.0,B,3.25
"Trivedi, Mohan M.",WI21,102,31,77.4,77.4,10.11,ECE 172A,Introductn/Intelligent Systems (A),B,3.13,B+,3.6
"Vasconcelos, Nuno",WI21,83,28,76.9,69.2,9.25,ECE 175A,Pattrn Recogn and Machine Lrng (A),B,3.17,B,3.21
"Wang, Xiaolong",WI21,50,13,100.0,84.6,7.88,ECE 176,Intro Deep Learning & Apps (A),B+,3.57,A-,3.92
"Dey, Sujit",WI21,137,66,91.9,74.2,7.24,ECE 25,Introduction to Digital Design (A),B+,3.43,B+,3.33
"Mir Arabbaygi, Siavash",WI21,133,85,72.3,80.7,8.81,ECE 30,Intro to Computer Engineering (A),B,3.25,B,3.16
"Schurgers, Curt",WI21,145,103,84.5,86.1,9.74,ECE 35,Introduction to Analog Design (A),B-,2.82,C+,2.35
"Zeger, Kenneth A.",WI21,197,85,72.0,68.3,7.72,ECE 45,Circuits and Systems (A),B-,2.96,C+,2.67
"Morris, Karcher William",WI21,51,19,100.0,100.0,6.82,ECE 5,Intro to ECE (A),A-,3.84,B+,3.6
"Baghdadchi, Saharnaz",WI21,165,131,98.5,99.2,8.25,ECE 65,Components & Circuits Lab (A),B+,3.64,B,3.25
"Nieto-Barthaburu, Augusto",WI21,335,162,81.4,76.3,4.32,ECON 1,Principles of Microeconomics (A),B+,3.33,B-,2.95
"Sinitsyn, Maxim",WI21,128,39,61.1,66.7,7.67,ECON 100A,Microeconomics A (A),B,3.08,B-,2.84
"Tocoian, Oana",WI21,267,68,62.1,63.5,8.38,ECON 100A,Microeconomics A (B),B,3.06,B-,2.89
"Galperti, Simone",WI21,168,49,95.3,100.0,6.64,ECON 100B,Microeconomics B (A),B+,3.38,B,3.19
"Galperti, Simone",WI21,97,20,100.0,88.9,6.08,ECON 100B,Microeconomics B (B),B,3.14,B,3.18
"Sinitsyn, Maxim",WI21,86,21,95.2,100.0,4.88,ECON 100C,Microeconomics C (A),B,3.28,B,3.07
"Sinitsyn, Maxim",WI21,49,11,100.0,100.0,5.77,ECON 100C,Microeconomics C (B),B+,3.44,B-,2.9
"Rauch, James E",WI21,78,15,86.7,86.7,7.43,ECON 101,International Trade (A),B,3.09,B,3.07
"Watson, Joel Christopher",WI21,78,14,100.0,84.6,8.81,ECON 109,Game Theory (A),B,3.25,B,3.19
"Watson, Joel Christopher",WI21,99,27,85.2,73.1,6.8,ECON 109,Game Theory (B),B+,3.48,B+,3.56
"Candido, Maria Teresa",WI21,386,82,86.5,86.5,6.34,ECON 110A,Macroeconomics A (A),B+,3.35,B,3.02
"Candido, Maria Teresa",WI21,99,23,91.3,91.3,6.59,ECON 110B,Macroeconomics B (A),B+,3.35,B,3.1
"Trottner, Fabian Gunter We",WI21,36,8,100.0,100.0,4.75,ECON 110B,Macroeconomics B (B),B+,3.38,B,3.07
"Trottner, Fabian Gunter We",WI21,38,13,100.0,92.3,6.81,ECON 110B,Macroeconomics B (C),B+,3.69,B,3.18
"Wieland, Johannes Friedrich",WI21,56,47,97.9,97.9,6.72,ECON 111,Monetary Economics (A),B+,3.33,B,3.04
"Rondina, Giacomo",WI21,32,9,88.9,88.9,7.17,ECON 112,Macroeconomic Data Analysis (A),B+,3.38,B,3.0
"Lowes, Sara Rachel",WI21,73,22,81.0,90.5,5.32,ECON 116,Economic Development (A),B+,3.42,B,3.17
"O, Mun Pyung",WI21,138,25,87.0,69.6,8.67,ECON 120A,Econometrics A (A),B,3.21,C+,2.63
"O, Mun Pyung",WI21,148,48,78.3,52.2,7.2,ECON 120A,Econometrics A (B),B+,3.37,B,3.04
"Dahl, Gordon B.",WI21,220,65,98.5,93.8,7.08,ECON 120B,Econometrics B (A),B+,3.53,B,3.03
"Dahl, Gordon B.",WI21,34,11,90.9,100.0,7.9,ECON 120B,Econometrics B (B),A-,3.75,B-,2.93
